intensity,RMSE_XGBoost,RMSE_Hybrid,n_samples
Light (0-2mm),1.2951580770035334,1.8188188834762775,512415
Moderate (2-10mm),3.216548722498091,4.458573498303074,161361
Heavy (>10mm),9.64618086274648,8.080631184616513,48582
