season,RMSE_XGBoost,RMSE_Hybrid,n_samples
Winter,3.853752581372481,3.8917614606030715,182196
Spring,2.3336513393410763,2.588870410780481,173880
Summer,2.414211330332053,2.5928767929023135,173880
Autumn,3.5194992758328407,3.947642267331881,192402
