intensity,RMSE_XGBoost,RMSE_Hybrid,n_samples
Light (0-2mm),1.2951580770035334,1.8119678373787622,512415
Moderate (2-10mm),3.216548722498091,4.472737700541113,161361
Heavy (>10mm),9.64618086274648,8.092793647498748,48582
